scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,520,2.105711,3.6097125,7.169205,26.873375000000003,228.02860000000035,7.0,10.0,18.0,60.0,617.8000000000006,1009.4000000000001,1645.0,3312.5,12256.25,109310.1
all scenes,qp-fixed,520,2.607529,3.6406799999999997,7.686135,28.991,102.782,6.0,7.0,12.0,28.25,83.20000000000005,423.9,622.0,1213.5,3953.25,16255.700000000006
all scenes,qp-lipsch,520,0.7915811,1.4665374999999998,4.946485,22.331075000000002,92.18809,6.0,7.0,12.0,29.0,85.0,114.80000000000001,212.25,651.0,2854.5,12372.2
all scenes,qp-free,432,13.89281,27.562375,63.08855,142.2465,345.22170000000006,22.0,41.0,87.5,201.5,554.8000000000011,2450.4,4708.25,10088.0,23403.75,60202.10000000015
all scenes,qp-envelope,520,0.5525498,0.96263275,3.4090249999999997,14.113949999999999,80.71079000000007,6.0,7.0,12.0,28.25,85.20000000000005,56.900000000000006,113.75,428.5,1778.75,9484.900000000009
bookshelf_small,rrtconnect,57,1.675036,2.2746,9.597420000000001,22.306800000000003,57.21419999999997,6.0,8.0,23.0,46.0,135.59999999999997,746.0,1204.0,4238.0,9302.0,27831.599999999995
bookshelf_small,qp-fixed,57,2.551054,3.4085500000000004,4.83833,11.0662,32.81406,5.6000000000000005,6.0,7.0,15.0,29.4,397.8,480.0,720.0,1422.0,4809.799999999999
bookshelf_small,qp-lipsch,57,0.6458838,1.50781,2.4405799999999997,6.77569,29.10577999999999,5.6000000000000005,6.0,7.0,15.0,31.199999999999996,118.2,231.0,326.0,823.0,3912.7999999999997
bookshelf_small,qp-free,57,8.830292,16.3154,76.389,170.13,478.40459999999996,13.600000000000001,30.0,97.0,217.0,663.5999999999999,1372.0,3447.0,11300.0,24354.0,69231.0
bookshelf_small,qp-envelope,57,0.3995648,0.9126810000000001,2.18521,4.864870000000001,19.86452,5.6000000000000005,6.0,7.0,15.0,30.4,45.800000000000004,99.0,233.0,611.0,2563.5999999999995
bookshelf_tall,rrtconnect,46,2.194645,3.7693225,9.243265000000001,25.9715,53.8513,8.5,10.5,24.0,60.0,129.0,1162.5,1693.5,4638.0,11824.25,25925.0
bookshelf_tall,qp-fixed,46,2.92287,6.5131625,11.2423,26.8677,42.7231,6.0,9.0,17.5,28.5,34.5,468.5,972.5,1715.0,3986.5,5395.5
bookshelf_tall,qp-lipsch,46,1.81635,3.1938125,7.772935,18.53535,35.5617,6.0,9.0,16.0,29.75,34.5,223.0,526.5,1097.0,2697.75,4373.0
bookshelf_tall,qp-free,46,13.6128,21.5364,66.14165,159.06425,283.25249999999994,21.0,36.25,93.0,241.5,420.0,2206.5,4162.25,11351.5,27285.75,46355.5
bookshelf_tall,qp-envelope,46,0.9467425,2.3540075,5.588595,12.4544,23.362099999999998,6.0,9.0,15.0,26.5,32.5,90.5,280.75,715.5,1286.5,2516.5
bookshelf_thin,rrtconnect,60,3.538551,6.61892,11.9469,20.564325,48.3861,9.9,17.0,28.5,53.5,107.80000000000004,1733.9,3239.75,5341.5,10801.5,21194.60000000001
bookshelf_thin,qp-fixed,60,2.658054,3.60864,5.57262,14.775549999999999,19.153080000000006,6.0,6.0,9.5,15.0,20.200000000000003,437.4,552.5,845.5,1987.0,2744.4000000000005
bookshelf_thin,qp-lipsch,60,1.137977,1.62597,3.5630800000000002,9.994445,14.45491,6.0,6.0,10.0,15.25,20.200000000000003,138.6,248.75,532.0,1251.5,1872.4000000000003
bookshelf_thin,qp-free,60,37.42842,68.527475,144.30700000000002,258.138,566.3719000000004,52.0,85.75,222.5,413.75,874.900000000001,5442.8,10156.25,25330.0,45410.25,91357.30000000009
bookshelf_thin,qp-envelope,60,0.6911790999999999,1.22613,2.96677,8.0471925,12.014640000000004,6.0,6.0,10.0,14.25,20.200000000000003,91.9,191.75,383.0,943.5,1518.9
